High Priority WRET
8532, 11674, 13700, 13568, 13635, 12973, 12947, 12814, 12871, 12849, 12947, 12922, 12841, 12947, 12855, 12811, 13065, 12877, 13484, 13452, 13698, 13164, 13015, 12895, 12875, 12945, 12836, 12739, 15948, 15980, 15991, 12841, 12706, 12863, 12918, 12999, 12939, 13012, 13030, 12933, 12980, 12982, 12987, 12820, 12819, 12817, 16176, 16176, 16174, 12863, 12784, 12790, 12780, 12948, 12953, 12918, 12733, 12709, 12639, 12900, 12863, 12995, 13187, 12990
7735, 14912, 15480, 15526, 15091, 14584, 14602, 12789, 12881, 13159, 13349, 13289, 13174, 13302, 13321, 13171, 13157, 13130, 13212, 13246, 13361, 13300, 13164, 13404, 13377, 13244, 12992, 13127, 15851, 15964, 15796, 13021, 12819, 12947, 13021, 12982, 12881, 13024, 13072, 13292, 13197, 13237, 13093, 13183, 13220, 13095, 13262, 13194, 13342, 13098, 12905, 12949, 12902, 13031, 12959, 13044, 13238, 13295, 13289, 13316, 13448, 13861, 13747, 13941
8995, 13690, 14706, 15062, 15425, 15660, 15424, 14029, 13687, 13735, 13638, 13651, 13697, 13615, 13638, 13613, 13658, 13694, 13968, 13983, 13874, 13894, 13808, 13861, 13941, 13825, 13745, 13713, 13928, 13840, 13692, 13389, 13465, 13449, 13647, 13921, 13925, 13779, 13565, 13486, 13709, 13821, 13817, 13692, 13764, 14029, 13743, 13928, 13782, 13970, 13812, 13701, 13576, 13635, 13564, 13626, 13765, 13629, 13524, 13604, 13418, 13467, 13027, 13015
9240, 14722, 14770, 14213, 13549, 13503, 13417, 13262, 13137, 13369, 13481, 13401, 13406, 13267, 13333, 13287, 13414, 13452, 13761, 13655, 13864, 13429, 13370, 13304, 13984, 13901, 13895, 13473, 15985, 15985, 15950, 13208, 13398, 13284, 13364, 13346, 13318, 13343, 13331, 13257, 13277, 13084, 13161, 13163, 13250, 13405, 13383, 13408, 13172, 13088, 13020, 12992, 12825, 12841, 12911, 12983, 12816, 12814, 12918, 13068, 13133, 13208, 13239, 13073
13973, 14322, 14351, 13423, 13304, 13279, 13128, 13217, 13321, 13232, 13312, 13269, 13159, 13261, 13399, 13285, 13243, 13293, 13298, 13266, 13126, 13168, 13176, 12906, 13195, 13159, 13306, 13251, 13280, 13223, 13222, 13037, 13084, 13327, 13342, 13338, 13185, 13388, 13372, 13331, 13055, 13016, 13087, 13242, 13308, 13534, 14315, 14698, 14687, 14232, 13093, 13198, 14089, 14109, 14109, 13254, 13115, 13114, 13070, 13327, 13322, 13286, 13467, 13441
8118, 14172, 14621, 14186, 13444, 13321, 13254, 13484, 13429, 13453, 13359, 13496, 13586, 13668, 13636, 13493, 13479, 13588, 13673, 13561, 13515, 13582, 13667, 13626, 13469, 13353, 13346, 14062, 14202, 14080, 13507, 13609, 13649, 13371, 13583, 13631, 13791, 13632, 13395, 13477, 13409, 13262, 13297, 13095, 13069, 13028, 13482, 13558, 13566, 13500, 13465, 13654, 13655, 13671, 13475, 13381, 13637, 13571, 13553, 13098, 13318, 13332, 13279, 13130
8876, 15137, 15487, 15203, 13768, 13318, 13035, 13044, 13138, 13108, 12980, 13191, 13167, 13022, 12962, 12959, 13034, 13194, 13306, 13169, 13139, 13179, 13203, 13262, 13070, 13227, 13133, 13230, 13113, 13209, 13110, 13084, 13093, 13156, 13159, 13181, 13257, 13199, 13115, 13189, 13198, 13215, 13126, 12971, 13018, 13170, 13155, 13284, 13121, 13023, 12657, 13077, 13219, 13203, 12980, 13066, 13029, 12947, 12992, 13150, 13100, 13299, 13083, 13062
11828, 15797, 17612, 17628, 16650, 14761, 15166, 14757, 14616, 14087, 13677, 14204, 14114, 14077, 13710, 13669, 13540, 13394, 13464, 13677, 13695, 13591, 13468, 13624, 13723, 13695, 13479, 13374, 16657, 16657, 17526, 15396, 15494, 13559, 13576, 13598, 13438, 13528, 13558, 13744, 13563, 13656, 13506, 13540, 13693, 13645, 13558, 13128, 12711, 12549, 12562, 12547, 12766, 12864, 12803, 12668, 12729, 12792, 12957, 13034, 12967, 13363, 13619, 14335
11703, 16200, 16586, 16059, 13380, 13769, 13827, 13882, 13518, 13471, 13137, 13355, 13478, 13382, 13190, 13016, 13039, 12918, 12969, 13011, 13203, 13333, 13463, 13431, 13372, 13173, 13261, 15289, 15388, 15381, 13049, 12971, 13218, 13336, 13246, 13153, 13084, 13062, 13229, 13155, 13097, 12968, 13099, 13033, 13124, 13193, 14256, 14521, 14525, 13976, 13136, 13301, 14277, 14287, 14310, 13526, 13612, 13570, 13535, 13258, 13269, 13277, 13490, 13465
15162, 15234, 15239, 13165, 13217, 13325, 13623, 13587, 13527, 13228, 13185, 13289, 13234, 13397, 13298, 13149, 13143, 13333, 13628, 13660, 13638, 13379, 13492, 13203, 13202, 12968, 12970, 12966, 17228, 17228, 17228, 13281, 13252, 13277, 13369, 13326, 13248, 13183, 13330, 13221, 13263, 13248, 13094, 13130, 13213, 13207, 13105, 13028, 13066, 12937, 12840, 13023, 13016, 13092, 12964, 12974, 13010, 13075, 13119, 13133, 12981, 12957, 12946, 13254
