High Priority Response Time
10322, 13583, 21378, 29616, 20582, 15143, 19264, 30384, 23263, 14591, 20030, 29176, 28159, 14990, 19824, 31104, 25673, 12030, 15744, 25795, 30967, 15462, 17285, 30532, 33157, 25433, 12312, 24897, 26274, 12900, 18854, 25691, 27754, 19806, 15509, 25108, 41340, 38440, 16999, 13588, 21039, 11450, 10802, 32981, 27673, 19690, 14888, 10967
7616, 13879, 12273, 22791, 18732, 10085, 10722, 16617, 19998, 11796, 11563, 20361, 22209, 11107, 11725, 15543, 21226, 11692, 14354, 15771, 22347, 11319, 10866, 23659, 27796, 24515, 12684, 15633, 23482, 13444, 13035, 17560, 29074, 20232, 11550, 12028, 34860, 43904, 19992, 10746, 19279, 11752, 11923, 20613, 25620, 22037, 14358, 8973
7224, 16959, 16999, 19779, 20202, 16376, 16134, 19418, 27473, 16449, 17381, 21011, 27528, 15622, 17087, 21644, 26532, 17524, 16646, 22234, 29515, 17643, 16159, 23404, 32131, 25496, 13839, 14235, 28255, 19940, 13936, 15005, 24412, 19604, 11124, 8471, 30403, 46695, 20183, 7633, 22338, 16531, 12794, 29389, 29499, 20824, 15227, 13030
