High Priority WRET
7433, 9277, 11111, 11286, 11386, 11402, 11438, 11513, 11866, 12027, 12134, 12264, 12364, 12352, 12170, 11979, 12211, 12259, 12319, 12229, 12125, 12070, 12007, 12117, 12324, 12323, 12326, 12245, 12260, 12115, 12098, 12137, 12166, 12183, 12126, 12048, 12185, 12128, 12161, 11979, 12012, 12050, 12301, 12221, 12165, 11961, 12037, 12105, 12023, 12022, 12028, 12162, 12043, 12030, 12274, 12277, 12199, 12025, 11998, 12095, 12053, 12083, 12034, 12108, 12109, 12061, 12051, 12154, 12113, 12308, 12396, 12432, 12393, 12473, 12464
12917, 13392, 13493, 13550, 13550, 13561, 13791, 13842, 13819, 13768, 13833, 13949, 13954, 14081, 14102, 14009, 13991, 13943, 13928, 13918, 13952, 13969, 13901, 13801, 13820, 13740, 13913, 14053, 14722, 14735, 15202, 15308, 15293, 14991, 13813, 13857, 13808, 13865, 13805, 13807, 13839, 13727, 13831, 13817, 13876, 13793, 13767, 13794, 13731, 13808, 13732, 13917, 13877, 13845, 13805, 13889, 13883, 13808, 13740, 13773, 13834, 13940, 13976, 13810, 13662, 13824, 14083, 15064, 15057, 16808, 16739, 16758, 14116, 14237, 14307
7784, 7876, 11181, 13294, 13663, 15230, 15260, 15260, 13881, 13947, 14922, 15622, 16696, 16807, 16481, 14006, 13909, 13916, 13973, 13807, 13828, 13771, 13753, 14112, 14125, 14189, 13334, 13548, 13732, 13873, 13899, 13687, 13586, 13586, 13531, 13622, 13783, 13692, 13762, 13706, 13639, 13477, 13613, 13650, 13629, 13574, 13632, 13694, 13389, 13701, 13601, 14260, 14038, 14053, 14188, 14183, 14320, 13673, 13679, 13411, 13311, 13136, 13184, 13326, 13361, 13283, 13873, 14643, 14643, 15021, 14728, 14666, 14138, 14159, 14170
11945, 14003, 14300, 14265, 14388, 14516, 14484, 14541, 14637, 14735, 14701, 14729, 14873, 14854, 14780, 14590, 14516, 14744, 14861, 15023, 14910, 14736, 14555, 14542, 14626, 14644, 14732, 14754, 14790, 14804, 14972, 15092, 15235, 15031, 14824, 14664, 14691, 14658, 14551, 14658, 14675, 14898, 14918, 14830, 14575, 14544, 14656, 14771, 14636, 14542, 14663, 14626, 14697, 14676, 14737, 14810, 14815, 14725, 14728, 14573, 14597, 14632, 14739, 14625, 14661, 14577, 14675, 14830, 14872, 15033, 14894, 14920, 14674, 14801, 14892
12583, 13762, 14209, 14078, 14573, 14615, 14646, 14232, 14027, 14326, 14351, 14568, 14446, 14348, 14323, 14242, 14068, 14189, 14107, 14291, 14418, 14179, 13934, 13975, 14123, 14096, 13894, 14018, 14096, 14082, 13940, 14112, 14199, 14264, 14154, 14090, 13886, 13838, 13907, 13918, 13759, 13906, 14139, 14242, 14174, 13967, 13896, 13913, 13876, 13859, 14178, 14368, 14256, 14602, 14675, 14741, 14382, 14346, 14248, 14123, 13940, 13822, 14090, 14004, 14002, 13973, 13998, 13950, 13786, 14192, 14521, 14526, 14711, 14833, 14800
8800, 14358, 14385, 14389, 14270, 14402, 14906, 14952, 14890, 14781, 15357, 15782, 16024, 15683, 15204, 14933, 14942, 14913, 15007, 14903, 14770, 14641, 14285, 14331, 14567, 14916, 15226, 15094, 15203, 15175, 15865, 16009, 16039, 15751, 14967, 14927, 14804, 14785, 14938, 14850, 14989, 14993, 14950, 15022, 14968, 14985, 15139, 14991, 14828, 14887, 15042, 15084, 15165, 15080, 15053, 14843, 14798, 14870, 14549, 14856, 14883, 14788, 14659, 14660, 14715, 14952, 14916, 15262, 15245, 16301, 16240, 16228, 14844, 14916, 14556
12821, 13011, 13011, 12575, 13926, 14224, 14199, 12754, 12576, 13520, 13844, 13709, 13049, 12807, 12773, 12746, 12484, 12583, 12571, 12584, 12636, 12615, 12791, 12813, 12766, 12510, 12512, 12563, 12460, 12121, 11917, 12326, 12356, 12382, 12135, 12177, 12251, 12179, 12106, 12124, 12454, 12414, 12409, 12108, 12133, 12078, 12125, 12115, 12091, 12099, 12139, 12148, 12085, 12523, 12666, 12667, 12425, 12387, 12384, 12115, 12126, 12124, 12407, 12534, 12545, 12500, 12423, 12460, 12244, 12614, 12615, 12695, 15135, 15135, 15141
11505, 13046, 13183, 13290, 13248, 14129, 14080, 14103, 13198, 13452, 13926, 15996, 16044, 15939, 13424, 13418, 13359, 13442, 13483, 13457, 13434, 13304, 13331, 13296, 13375, 13388, 13365, 13397, 13539, 14353, 14650, 14582, 14375, 13369, 13463, 13423, 13432, 13361, 13395, 13435, 13485, 13175, 13226, 13231, 13298, 13209, 13290, 13208, 13386, 13324, 13400, 13410, 13425, 14070, 14120, 14142, 13480, 13439, 13426, 13293, 13254, 13367, 13296, 13232, 13256, 13435, 13948, 14063, 14023, 16763, 16743, 16738, 15455, 15585, 15688
8383, 8406, 8481, 8044, 8288, 8427, 8656, 8617, 12419, 12553, 12901, 12995, 13046, 13017, 12926, 12833, 12820, 12842, 12847, 12742, 12656, 12692, 12695, 12698, 12916, 12952, 12922, 12800, 12740, 13055, 13074, 13054, 12880, 12721, 12720, 12636, 12704, 12755, 12775, 12761, 12707, 12643, 12780, 12848, 12852, 12742, 12703, 12829, 12779, 12816, 12762, 12893, 12795, 12820, 12979, 12963, 13033, 12788, 12829, 12790, 12744, 12734, 12603, 12586, 12636, 12613, 12841, 12872, 12969, 13121, 13203, 13324, 13250, 13323, 13240
13464, 14963, 14963, 14813, 14066, 14121, 14028, 14151, 14113, 14134, 14091, 14140, 14269, 14195, 14110, 14145, 14014, 14058, 14083, 14310, 14194, 14250, 14050, 14190, 14181, 14240, 14235, 14244, 14278, 14348, 14545, 14525, 14496, 14261, 14262, 14307, 14190, 14175, 14239, 14196, 14206, 14139, 14264, 14243, 14105, 14118, 14051, 14089, 14091, 14211, 14237, 14192, 14160, 14200, 14111, 14221, 14310, 14198, 14273, 14100, 14155, 14126, 14118, 14094, 14076, 14241, 14272, 14370, 14184, 14406, 14274, 14385, 14141, 14169, 14223
