Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
219, 0.416667, 2.91971, 7.0911, 6.44135
220, 0.3125, 3.4965, 7.39018, 6.5722
204, 0.208333, 6.45161, 3.20745, 6.49994
212, 0.416667, 6.79612, 5.33126, 6.49799
224, 0.104167, 0, 8.47107, 6.47455
223, 0.104167, 3.18471, 8.12209, 6.49994
219, 0.208333, 3.62319, 7.13547, 6.56049
195, 0.104167, 26.3158, 0.981405, 6.52924
194, 0.3125, 54.5455, 0.568769, 6.47845
213, 0.208333, 6.66667, 5.4376, 6.56439
215, 0.625, 4.2735, 6.04651, 6.52533
