Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
192, 0, 0, 0.103306, 5.21869
204, 0, 10, 3.10238, 5.21869
228, 0, 0.184843, 28.0166, 4.98236
219, 0, 0.200803, 25.7764, 4.98236
231, 0, 0.178891, 28.9337, 4.98236
224, 0, 0.572519, 27.1222, 4.98236
215, 0, 1.46751, 24.7022, 4.98236
206, 0, 0.230415, 22.4521, 4.98236
208, 0, 1.12867, 22.9296, 4.98236
198, 0, 3.125, 1.65289, 4.95306
195, 11.1458, 0, 0.774793, 4.95306
196, 21.3542, 4.16667, 1.23967, 4.95306
198, 0, 5.88235, 1.7562, 4.95306
