Low Priority WRET
13522, 15037, 12767, 13123, 12924, 13103, 12629, 12805, 12965, 13033, 13008, 13139, 12641, 12693, 8242, 13229, 13097, 14364, 17829, 11681, 13741, 12420, 12702, 13127, 13124, 13246, 12214, 13141, 13187, 13112, 12844, 12900, 13051, 13302, 13164, 13247, 13143, 13029, 12976, 13063, 13091, 13030, 13148, 13228, 13372, 13283, 13122, 13042, 13214, 13347, 13298, 13175, 13206, 13198, 13154, 13048, 12928, 12975, 12818, 13057, 13124, 13139, 12956, 12816, 13012, 13008, 13019, 13123, 13070, 12988, 12989, 13109, 13217, 13201, 13167, 13010, 13064, 13069, 13160, 13168, 13088, 13123, 13044, 12777, 13033, 13048, 13025, 12978, 12950, 13053, 13114, 13255, 13274, 13208, 13035, 13143, 13189, 13187, 13076, 13100
8969, 9228, 12702, 15548, 13051, 14100, 10942
12294, 13082, 13427, 13292, 13437, 13075, 13474, 13226, 13177, 13643, 13643, 13250, 12808, 12985, 13349, 13469, 13622, 13517, 13505, 13376, 13384, 13387, 13515, 13619, 13707, 13705, 13693, 13632, 13512, 13527, 13370, 13215, 13598, 13698, 13704, 13507, 13495, 13417, 13374, 13322, 13365, 13284, 13379, 13281, 13471, 13647, 13813, 13730, 13721, 13586, 13707, 13625, 13634, 13495, 13603, 13386, 13343, 13330, 13402, 13488, 13484, 13510, 13402, 13386, 13261, 13312, 13348, 13444, 15230, 13147, 13434, 13537, 13410, 13383, 13452, 13298, 13433, 13549
13293, 13948, 12685, 13161, 13464, 13415, 13459, 13194, 13380, 13425, 13428, 13256, 13225, 13290, 13521, 13704, 13704, 13428, 13280, 13443, 13515, 13545, 13688, 13637, 13546, 13486, 13343, 13361, 13476, 13341, 13325, 13512, 13469, 13438, 13387, 13352, 13441, 13614, 13725, 13601, 12910, 13257, 13509, 13521, 13483, 13442, 13353, 13473, 13422, 13281, 13269, 13374, 13447, 13435, 13594, 13602, 13586, 13297, 13357, 13524, 13543, 13622, 13544, 13410, 13370, 13190, 13252, 13347, 13322, 13233, 13338, 13391, 13432, 13140, 13181, 13315, 13419, 13509, 13386, 13351, 13276, 13234, 13343, 13429, 13550, 13429, 13528, 13474, 13468, 13469, 13436, 13344, 13325, 13660, 12987, 13334, 13353, 13396, 13444, 13515, 13595, 13594, 13608, 13506, 13394, 13519, 13603, 13614, 13564, 13537, 13436
16128, 18281, 18898, 18026, 13308, 13068, 13177, 12766, 13078, 13015, 13061, 12733, 12937, 13070, 13220, 12980, 13086, 12788, 12664, 13167, 12827, 13211, 11390
8395, 8934, 12576, 13588, 11410
8514, 8722, 13237, 13474, 13743, 13322, 13105, 13076, 13466, 13381, 13275, 13136, 13209, 13238, 13285, 13373, 13216, 13226, 13279, 13408, 13408, 13326, 13205, 13123, 13257, 13220, 13124, 13105, 13181, 13301, 13319, 13238, 13410, 13254, 16325, 8442, 8518, 12910, 14354, 12228
12941, 13288, 13633, 13162, 13206, 13131, 13131, 13492, 13494, 13350, 13116, 13381, 13483, 13394, 13270, 13145, 13097, 13243, 13184, 13083, 13140, 13160, 13095, 13021, 13173, 13451, 13540, 13480, 13204, 13157, 13223, 13330, 13309, 13341, 13097, 13155, 13152, 13079, 13007, 13197, 13285, 13304, 13564, 13377, 13362, 13099, 13230, 13204, 13244, 13145, 13178, 13019, 13152, 13338, 13477, 13295, 13279, 13190, 13228, 13358, 13323, 13243, 13289, 13499, 13615, 13613, 13310, 13258, 13209, 13387, 13418, 13374, 13103, 13254, 16221, 12709, 13118, 13236, 13332, 13262, 13180, 13149, 13214, 13251, 13249, 13228, 13302, 13172, 13418, 13463, 13557, 13307, 13263, 14040, 14049, 14859, 14001, 13926, 13216, 13764, 13866, 13957, 13194, 13437, 13375, 13168, 13251, 13347, 13426, 13499, 13553, 13438, 13199, 13107, 13205, 13039
13364, 12607, 12513, 12687, 12409, 12552, 15935, 13536, 13082, 14392, 14600, 13148, 13178, 12953, 12876, 13120, 13326, 13190, 13326, 13366, 13300, 13124, 13074, 7185
