Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
320, 4.79167, 7.94393, 33.247, 9.72064
323, 4.58333, 6.52504, 34.1274, 9.72064
305, 0, 1.5873, 29.3935, 8.12689
320, 0, 0.776398, 33.3506, 8.12689
326, 0, 0.149254, 34.715, 8.12689
315, 0, 0.162602, 31.8653, 8.12689
318, 3.22917, 0.952381, 32.6087, 8.65814
302, 0, 0.722022, 28.6898, 8.65814
323, 0, 0, 34.0591, 8.12689
326, 0, 0, 34.8006, 8.12689
322, 0, 1.22511, 33.8167, 7.33002
336, 0, 0.694444, 37.3444, 7.33002
347, 0, 0.3861, 40.2799, 7.33002
316, 0, 0.160256, 32.3149, 7.33002
324, 0, 0.301205, 34.4041, 7.33002
336, 0, 1.80055, 37.4287, 7.33002
346, 0, 0.77821, 39.9896, 7.33002
337, 0, 0, 37.5453, 7.33002
347, 0, 0.643501, 40.2591, 7.33002
343, 0, 0.263852, 39.2543, 7.33002
