Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
192, 0, 0, 0.103306, 5.36713
201, 0.208333, 2.04082, 2.5323, 5.36713
199, 0, 2.5641, 2.01446, 5.36713
237, 0, 0.341297, 30.347, 5.1308
225, 0, 0.568182, 27.3433, 5.1308
229, 0, 0.917431, 28.2237, 5.1308
235, 0, 0.17301, 29.9327, 5.1308
227, 0, 0.747664, 27.7059, 5.1308
229, 0, 0.182815, 28.3273, 5.1308
220, 0, 0, 25.8799, 5.1308
215, 0, 6.89655, 5.99174, 5.1015
193, 0, 12.5, 0.413223, 5.1015
209, 0, 2.27273, 4.54545, 5.1015
203, 0, 7.01754, 2.94421, 5.1015
