High Priority WRET
10853, 11368, 11617, 11270, 11320, 11432, 11395, 11508, 11498, 11544, 11520, 11554, 11493, 11360, 10633, 10654, 11168, 11221, 11359, 11344, 11341, 11327, 11253, 10574, 10508, 10521, 10495, 10650, 10774, 10831, 10941, 10969, 10959, 10938, 10874, 10881, 10979, 11000, 10970
10710, 10961, 10971, 10497, 10471, 10598, 10654, 10749, 10822, 10760, 10771, 10674, 10740, 10743, 10897, 10886, 10854, 10877, 10952, 11005, 11002, 10981, 11083, 11138, 11091, 11064, 10825, 10820, 10820, 10813, 10895, 11010, 11183, 11186, 11182, 11096, 11143, 10870, 10855
11274, 11912, 11976, 11448, 11320, 11391, 11407, 11376, 11366, 11332, 11301, 10931, 11009, 11126, 11284, 11353, 11322, 11253, 11263, 11227, 11309, 11273, 11255, 11148, 11155, 11173, 11051, 11145, 11137, 11171, 11156, 11149, 11378, 11311, 11306, 11180, 11203, 11226, 11021
8909, 11582, 11602, 10979, 10865, 10833, 10849, 10890, 10890, 10888, 10897, 10864, 10906, 10905, 10927, 10958, 10975, 10959, 10955, 10951, 10995, 11000, 11006, 10965, 10959, 10956, 10950, 10969, 10953, 10980, 10983, 10966, 10927, 10980, 10987, 10994, 10997, 11495, 11638
8350, 11304, 11324, 10962, 10947, 10972, 10969, 10947, 10849, 10915, 10916, 10967, 10929, 10939, 11036, 11035, 11038, 11003, 11021, 11036, 11010, 10999, 11178, 11178, 11185, 10940, 10936, 10937, 10941, 10948, 10951, 10939, 10972, 10963, 10969, 10982, 11061, 11056, 11095
11711, 11980, 12040, 11602, 11534, 11469, 11434, 11454, 11483, 11452, 11497, 11481, 11576, 11495, 11526, 11463, 11465, 11599, 11615, 11585, 11563, 11549, 11556, 11556, 11567, 11583, 11509, 11430, 11385, 11414, 11345, 11392, 11516, 11610, 11594, 11466, 11518, 11539
6968, 11346, 11432, 11190, 10804, 10850, 10870, 10863, 10837, 10817, 11150, 11119, 11145, 10846, 10863, 10861, 10880, 10871, 10827, 10828, 10817, 10827, 10848, 10865, 10863, 10875, 10849, 10855, 10834, 10838, 10851, 10837, 10876, 10916, 10922, 10912, 10854, 10837, 10887
11408, 11581, 11679, 11286, 11256, 11155, 11137, 11137, 11102, 11177, 11225, 11203, 11081, 11075, 11010, 11111, 11298, 11334, 11408, 11361, 11333, 11397, 11666, 11714, 11671, 11545, 11526, 11555, 11858, 11858, 11808, 11017, 10862, 10848, 10793, 10818, 10821, 10801, 10799
6647, 10381, 10870, 10891, 10927, 10796, 10795, 10838, 10860, 10865, 10868, 10837, 10866, 10898, 10907, 10898, 10900, 10937, 10923, 10905, 10893, 10895, 10900, 10901, 10918, 10909, 10885, 10860, 10877, 10874, 10871, 10850, 10943, 10929, 10924, 10910, 10937, 10950, 10981
9170, 11447, 11687, 11420, 11497, 11439, 11274, 11055, 11054, 11051, 11170, 11102, 11083, 10937, 11162, 11169, 11336, 11300, 11360, 11226, 11212, 11271, 11290, 11341, 11280, 11210, 11337, 11307, 11312, 11116, 11664, 11697, 11751, 11774, 11768, 11705, 11745, 11839, 11832
10242, 11428, 11522, 11285, 11016, 10823, 10822, 10839, 10849, 10853, 10796, 10813, 10988, 11002, 11033, 10798, 10825, 10807, 10831, 10793, 10791, 10981, 11341, 11384, 11469, 11507, 11524, 11397, 11353, 11316, 11300, 11441, 11387, 11420, 11128, 11354, 11336, 11403, 11153
11665, 11764, 11776, 12042, 12042, 12042, 11207, 11360, 11358, 11310, 10919, 10964, 10944, 11249, 11173, 11188, 10873, 10912, 10913, 10951, 11037, 11020, 11019, 10931, 11135, 11179, 12150, 12085, 12008, 12047, 14985, 15002, 14728, 11288, 11009, 10990, 10964, 11056
