High Priority Response Time
79106, 73311, 119033, 137345, 132859, 134651, 118322, 127544, 132663, 137230, 129035, 133798, 138061, 122169, 140077, 123029, 134738, 132902, 133975, 134743, 133040, 133825, 128814, 134868, 133213, 133892, 140969, 134386, 133668, 131292, 134241, 133006, 129350, 135248, 135036, 131661, 133630, 143722, 126124
76847, 156601, 22340, 135341, 134558, 132976, 137394, 128492, 133257, 132242, 134177, 132863, 123317, 136190, 122767, 142738, 134022, 133710, 134025, 133899, 133799, 134231, 129250, 133902, 132955, 134997, 124648, 132025, 133720, 129409, 134307, 140049, 141855, 133544, 130377, 136200, 134287, 125302, 142576
78457, 156633, 41801, 135418, 133900, 141672, 129509, 127604, 134105, 132625, 133378, 132786, 127206, 121489, 141568, 135063, 133811, 133841, 134216, 132682, 135123, 128962, 134224, 134049, 132840, 133952, 124940, 132101, 132992, 131734, 132577, 147579, 135361, 134336, 133198, 133507, 134135, 125189, 130310
80156, 67638, 109273, 136593, 134040, 133040, 135434, 129978, 133466, 129118, 137124, 131942, 126178, 133408, 124002, 121521, 133302, 133748, 133706, 134246, 133548, 135311, 127906, 155288, 133965, 134873, 122725, 133267, 133662, 130354, 133989, 140523, 140609, 134462, 131679, 135116, 113560, 145825, 133194
74912, 93785, 62619, 145322, 115439, 140992, 118784, 127673, 133775, 133550, 132143, 133314, 132487, 129158, 139865, 124439, 132357, 134564, 132937, 134336, 134225, 133686, 128748, 134136, 135144, 132806, 136240, 138603, 136033, 131104, 131358, 135672, 127046, 135185, 133454, 133671, 133787, 133505, 140453
70618, 87638, 133926, 134315, 125519, 140830, 126852, 129796, 131733, 133611, 133731, 133417, 125561, 127023, 139005, 134178, 133737, 132777, 134278, 132493, 134399, 129494, 133484, 135276, 132622, 133739, 130895, 126557, 134679, 134629, 138259, 138149, 133421, 135222, 132992, 133587, 134439, 126211
70386, 110126, 25551, 152023, 133872, 124470, 137189, 127671, 133705, 131771, 133926, 133313, 132484, 126552, 123910, 141223, 133120, 133751, 134769, 134339, 132405, 134482, 129768, 133116, 134373, 133551, 130847, 128101, 131877, 134348, 132681, 136255, 142990, 133361, 135281, 131877, 133699, 134365, 125341
80098, 125044, 51828, 136595, 123407, 143670, 116729, 127448, 134001, 132918, 132807, 133201, 132381, 129192, 141985, 143564, 132913, 134718, 133964, 132940, 133765, 134900, 128822, 112576, 134019, 133810, 144145, 133269, 133661, 130357, 133983, 130764, 129685, 134427, 133490, 133329, 155214, 124834, 133547
6703, 10423, 179893, 33914, 132763, 139973, 126897, 127125, 127218, 133550, 131089, 133728, 132388, 130703, 138898, 123740, 132440, 133738, 134531, 133573, 136585, 132830, 129232, 134540, 133437, 134475, 135005, 137169, 135268, 131562, 132016, 137060, 126245, 136043, 133381, 133001, 133572, 134437, 141838
74670, 69149, 86990, 128262, 152833, 124322, 137103, 127450, 133980, 132921, 132803, 133194, 132378, 126596, 125128, 141117, 133294, 133745, 133702, 134242, 133547, 133443, 128713, 135783, 134014, 133805, 130578, 126838, 130852, 131106, 137494, 139505, 139498, 134422, 133485, 133322, 134409, 133897, 123209
77791, 87324, 112458, 135417, 133894, 128018, 120901, 128493, 133261, 133920, 132509, 132859, 140117, 119396, 142919, 122595, 134026, 133728, 134013, 133920, 133786, 134258, 129250, 133902, 133957, 133992, 139790, 136392, 134829, 129255, 135051, 132328, 128365, 135311, 135742, 130871, 134225, 143834, 122297
74330, 105862, 108787, 132404, 135523, 124243, 125895, 129429, 132278, 132619, 133385, 132781, 127147, 142767, 124057, 131363, 133812, 133845, 134215, 134502, 133308, 128903, 134292, 134052, 137264, 131340, 141059, 135580, 130545, 133073, 137224, 123791, 134188, 134348, 133193, 133509, 134136, 144971
