High Priority WRET
7536, 7748, 7833, 7768, 7714, 7676, 7530, 7558, 9304, 11990, 12412, 12402, 12381, 12425, 12402, 12456, 12212, 12316, 12332, 12285, 12187, 12052, 12140, 12108, 12124, 12027, 11982, 12019, 12015, 11968, 12033, 12147, 12246, 12215, 12198, 12115, 12207, 12315, 12307, 12124, 12063, 12271, 12284, 12418, 12191, 12355, 12332, 12259, 12090, 11963, 11990, 12038, 12168, 12181, 12177, 12102, 12138, 12130, 12182, 12043, 12101, 12012, 11941, 12042, 12105, 12093, 12031, 12058, 12134, 12076, 12238, 12163, 12233, 12199, 12217
10827, 14498, 15251, 15688, 15590, 15559, 15545, 15426, 15427, 15605, 16577, 16584, 16572, 16655, 16700, 17534, 16974, 17022, 15823, 16047, 15836, 15809, 15586, 15451, 15317, 15268, 15298, 15718, 15729, 15667, 15451, 15454, 15482, 15580, 15247, 15325, 15297, 15360, 15544, 15526, 15676, 16390, 16350, 16318, 15563, 15503, 15480, 15405, 15556, 15335, 15518, 15569, 15579, 15457, 15605, 15764, 15702, 15793, 15685, 15515, 15628, 15593, 15648, 15639, 15693, 15399, 15475, 15451, 15903, 15862, 15889, 16101, 16957, 16984, 17000
11528, 12306, 12459, 12431, 12346, 12321, 12260, 12269, 12319, 12373, 13694, 13694, 13692, 12452, 12465, 12561, 12525, 12563, 13293, 13505, 13502, 12956, 12948, 12970, 12571, 12447, 12438, 12379, 12410, 12373, 12421, 12333, 12432, 12408, 12393, 12389, 12530, 12605, 12690, 12513, 12462, 12553, 12594, 12596, 12504, 12546, 12575, 12417, 12345, 12175, 12185, 12325, 12392, 12356, 12419, 12499, 12610, 12656, 12599, 12405, 12307, 12295, 12383, 12380, 12272, 12218, 12400, 12482, 12497, 12706, 12682, 12711, 13838, 13835, 13835
14752, 14893, 15137, 10972, 10861, 10793, 11144, 11210, 11406, 11329, 11398, 11116, 11111, 11189, 11088, 11451, 11286, 11466, 11240, 11263, 11244, 11377, 11162, 11246, 11018, 11159, 11146, 11240, 11154, 10974, 11068, 10982, 11094, 11039, 10958, 11109, 11072, 11019, 11072, 11075, 11319, 11274, 11315, 11458, 11323, 11240, 11025, 10844, 10950, 11012, 10989, 10945, 10997, 11163, 11232, 11154, 11227, 11220, 11234, 11120, 11177, 11115, 10932, 11015, 11122, 11410, 11402, 11548, 16421, 16845, 17142, 17254, 17308, 16990, 16659
15211, 15526, 15708, 13726, 13774, 13739, 13920, 13914, 13902, 13811, 14768, 14768, 14740, 14255, 14174, 14506, 14475, 14512, 14048, 13983, 14037, 14117, 14033, 13933, 14025, 13872, 13860, 13704, 13909, 14041, 14061, 13930, 14000, 13850, 13852, 13818, 13791, 13878, 13906, 13951, 13941, 13996, 13887, 13909, 13913, 13961, 13926, 13704, 13612, 13802, 13883, 14014, 13997, 13782, 13863, 13798, 14001, 14028, 14023, 13955, 13934, 13924, 13937, 13956, 13876, 13726, 13805, 13901, 14275, 14508, 14630, 15209, 15685, 15481, 15239
6575, 10518, 12064, 12209, 12237, 12127, 12024, 11995, 11929, 11898, 11918, 12002, 12036, 12063, 11893, 11934, 12005, 12104, 12109, 12143, 12047, 11971, 12023, 12051, 12035, 11968, 11944, 11960, 11895, 11925, 12130, 12136, 12142, 11975, 11953, 11966, 12019, 12032, 12108, 12178, 12187, 12111, 12063, 11926, 12047, 11961, 11968, 11799, 11858, 11848, 11862, 11864, 11869, 11890, 11894, 11920, 11941, 11980, 12015, 11972, 11893, 11814, 11773, 11917, 12036, 12051, 11863, 11804, 11878, 11951, 12021, 12041, 12010, 11958, 11843
7316, 7382, 11127, 12559, 12677, 12806, 12792, 12869, 12799, 12688, 12584, 12644, 12767, 12829, 12876, 13011, 12991, 12921, 12731, 12960, 12960, 12946, 12771, 12718, 12716, 12665, 12732, 12723, 12847, 12812, 12822, 12783, 12769, 12774, 12805, 12851, 12849, 12912, 12843, 12862, 12833, 12770, 12708, 12811, 12777, 12840, 12747, 12712, 12624, 12752, 12749, 12777, 12697, 12737, 12847, 12881, 12901, 12904, 12889, 12772, 12809, 12790, 12719, 12706, 12777, 12796, 12827, 12836, 12862, 12879, 12858, 12757, 12736, 12707, 12810
11347, 11561, 11642, 11635, 11593, 11599, 11590, 11732, 11817, 12123, 13080, 13080, 13080, 12060, 12099, 12200, 12236, 12333, 12377, 12385, 12308, 12094, 12035, 12064, 12042, 12090, 12088, 12091, 12106, 12109, 12205, 12211, 12232, 12323, 12263, 12265, 12184, 12239, 12165, 12126, 12047, 12111, 12105, 12198, 12446, 12428, 12368, 12128, 12157, 12074, 12171, 12231, 12215, 12139, 12097, 11966, 12080, 12075, 12070, 12085, 12094, 12065, 11937, 12099, 12049, 12086, 12116, 12109, 12179, 12108, 12171, 12128, 12699, 12639, 12612
6917, 7155, 10173, 11445, 11460, 11558, 11584, 11648, 11597, 11645, 11606, 11623, 11594, 11542, 11552, 11548, 11600, 11722, 11644, 11767, 11747, 11767, 11699, 11692, 11688, 11716, 11654, 11664, 11654, 11601, 11573, 11706, 11697, 11716, 11671, 11687, 11717, 11675, 11729, 11697, 11771, 11748, 11733, 11708, 11670, 11746, 11742, 11761, 11670, 11606, 11569, 11582, 11596, 11646, 11654, 11686, 11684, 11674, 11708, 11722, 11727, 11642, 11667, 11597, 11720, 11744, 11760, 11591, 11607, 11674, 11753, 11681, 11665, 11687, 11666
17487, 18927, 19423, 16316, 15990, 15931, 15811, 16023, 15979, 16026, 15951, 16032, 15925, 17518, 17467, 19213, 18398, 18495, 16142, 15982, 15848, 15743, 15872, 15750, 16160, 16106, 16105, 15817, 15844, 15891, 15821, 15885, 15861, 15847, 15886, 15845, 15848, 15785, 16080, 16011, 16069, 16257, 16084, 16127, 15797, 15802, 15978, 15941, 16080, 16232, 16089, 16140, 16114, 16279, 16214, 16382, 16230, 15981, 15888, 15847, 15896, 15792, 15921, 15705, 15746, 15602, 15824, 15971, 16141, 16337, 16335, 21748, 21748, 21748, 16483
