Low Priority WRET
11648, 15495, 16058, 12071, 11831, 12826, 10023, 11742, 10865, 8532, 9566, 13989, 10351, 13605, 9837, 11299, 15832, 9876
14247, 15226, 19537, 10229, 17065, 9258, 12576, 15330, 13906, 12942, 15370, 15956, 16260, 16619, 14897, 13007, 14614, 16098, 15372, 15429, 14681, 11531, 12424, 12960, 11943, 11393, 13293, 14758, 15179, 13010, 15824, 14635, 13701, 15131, 12020, 11153, 13921, 12378, 9855, 11478, 10188, 10935, 14363, 13093, 10157, 11313, 13068, 12923, 13602, 13377, 13357, 14148, 16637, 16013, 13894, 15268, 13143, 14451, 16940, 13870, 11821, 14273, 12524, 10117, 12983, 15021, 14984, 14461, 17136, 18061, 14567, 13036, 13146, 11104, 14592, 15639, 15316, 12355, 14054, 14115, 14891, 14358, 15614, 16182, 17385, 14691, 16557, 17234, 13724, 16389, 16781, 16523, 15629, 14905, 15323, 13741, 12549, 12257
7276, 12555, 7934, 13337, 15103, 12457, 7803, 14697, 11322, 12100, 13630, 11890, 8854, 16004, 9957, 7986, 11249, 10596
