Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
377, 0, 0.323625, 48.0809, 9.55658
384, 0, 0, 49.7925, 9.15814
379, 0, 0.959488, 48.702, 9.15814
389, 0, 0.101112, 51.3233, 8.7597
356, 0, 0.36452, 42.6646, 8.7597
387, 0, 0.511247, 50.7525, 8.7597
383, 0, 0.209205, 49.6108, 8.7597
361, 0, 0.235849, 43.9606, 8.7597
359, 0, 0, 43.2936, 8.7597
366, 0, 0, 45.2048, 8.7597
376, 0, 0.108225, 47.9502, 8.7597
371, 0, 0, 46.5249, 9.15814
404, 0, 0.282752, 55.0311, 8.7597
381, 0.104167, 0.843882, 49.1701, 8.7597
382, 0.83682, 1.04384, 49.818, 8.7597
