Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
362, 2.08333, 0.823529, 44.0643, 9.84955
350, 3.4375, 1.25945, 41.1612, 9.64447
333, 3.125, 4.79549, 36.7358, 9.31244
358, 3.54167, 3.71703, 43.2573, 9.31244
360, 0.3125, 0.714286, 43.5233, 8.98041
359, 0, 0.598086, 43.3161, 8.98041
375, 0, 0, 66.3896, 8.41205
390, 0, 0.10101, 51.3485, 7.98431
384, 0, 0.103842, 49.9481, 7.98431
363, 0, 0.11655, 44.5252, 8.98041
352, 0.104167, 0.498753, 41.5329, 8.98041
354, 3.33333, 1.84275, 42.1762, 8.98041
311, 0, 0.504202, 30.8131, 8.98041
312, 0, 0, 31.2953, 8.98041
318, 0, 0.474684, 32.7461, 8.98041
358, 2.70833, 1.3253, 43.0275, 8.98041
371, 0, 0, 46.3971, 8.98041
348, 2.91667, 2.05128, 40.4145, 8.98041
364, 0, 0, 44.79, 8.64838
365, 0, 0, 45.096, 8.64838
367, 0.520833, 0.797267, 45.5394, 8.64838
364, 0, 0, 44.715, 8.64838
373, 0, 0, 46.9155, 8.64838
361, 0, 0, 43.8051, 8.64838
358, 0, 0, 43.0275, 8.64838
374, 0, 0, 47.1747, 7.65228
361, 0, 0, 43.8051, 7.65228
346, 0, 0, 40.1036, 7.65228
371, 0, 0, 46.4489, 7.65228
367, 0, 0, 45.5631, 8.64838
359, 0, 0, 43.3904, 8.64838
365, 0, 0, 44.9456, 8.64838
353, 0, 0, 41.8653, 8.64838
368, 0, 0.11325, 45.7988, 8.64838
374, 0, 0, 47.2784, 8.64838
359, 0, 0, 43.3091, 8.64838
362, 0, 0, 44.2427, 7.65228
370, 0, 0, 46.3453, 7.65228
361, 0, 0, 43.9315, 7.65228
366, 0, 0, 45.332, 7.65228
362, 0, 0, 44.168, 7.65228
373, 0, 0, 47.0192, 7.65228
376, 0, 0, 47.7697, 7.98431
369, 0, 0, 45.8787, 7.98431
373, 0, 0, 46.9398, 7.98431
367, 0, 0, 45.5913, 7.98431
365, 0, 0.460829, 44.9974, 8.98041
343, 2.70833, 1.32275, 39.1913, 8.98041
367, 0, 0.571429, 45.3838, 8.98041
348, 0, 0.255754, 40.4972, 7.98431
376, 0, 0.217155, 47.7697, 7.98431
386, 0, 0.20555, 50.4406, 7.98431
