High Priority Execution Time
12762, 15181, 17202, 16798, 17976, 16658, 16997, 16688, 17446, 17448, 16037, 16096, 16473, 16334, 15118, 15410, 15601, 15904, 15224, 15233, 15726, 14734, 16074, 15652, 16375, 15856, 16676, 16511, 15717, 15307, 15303, 16284, 15710, 15519, 16250, 15667, 15189, 15234, 15217, 15231, 14833, 16200, 15936, 15493, 15706, 15071, 16130, 15345, 14838, 15651, 16272, 15674, 15550, 15441, 15261, 15810, 16177, 15340, 15178, 19135, 15266, 15635, 14800, 20904, 17741, 18863, 15957, 20163, 17142, 19772, 19173, 19767, 18350, 19109, 19240
8681, 10777, 24306, 23515, 23085, 22592, 22820, 21161, 22475, 22977, 22411, 22902, 23777, 24188, 19795, 21359, 21086, 21394, 16971, 16667, 16762, 16627, 17363, 17232, 17238, 17484, 17651, 17895, 18859, 17895, 17992, 18551, 18451, 17364, 19212, 17348, 16963, 17180, 18028, 18250, 17324, 17314, 18328, 17648, 18201, 18740, 17524, 19242, 16593, 18750, 17791, 17468, 20032, 16487, 19310, 17380, 19523, 19764, 18024, 17626, 17525, 18890, 19287, 18343, 20003, 16962, 16659, 17471, 17705, 17200, 17557, 17028, 17052, 17765, 17590
8663, 9653, 21335, 22878, 22894, 14617, 20553, 18499, 20590, 19099, 19468, 16749, 18502, 21027, 16203, 17512, 16978, 18740, 16716, 16397, 17155, 17790, 19715, 18243, 18941, 20076, 19552, 19711, 18419, 17315, 17346, 17988, 17947, 17924, 17861, 16950, 17015, 17435, 16723, 18399, 17160, 16963, 17483, 17467, 16961, 17359, 17465, 18343, 16028, 18194, 17412, 17696, 18306, 17277, 19796, 18961, 19886, 19370, 18639, 18466, 19307, 17609, 18446, 18141, 18637, 16686, 16502, 17764, 18098, 18490, 17605, 17062, 17188, 19015, 19666
15562, 18606, 24462, 24184, 22719, 23647, 21326, 22272, 22838, 23064, 22212, 23361, 23548, 20182, 22011, 21722, 21930, 17199, 16804, 16943, 17141, 17385, 17252, 17237, 17873, 17642, 18167, 17314, 17184, 16982, 17448, 19004, 18567, 17784, 17144, 16692, 16995, 16401, 17561, 18037, 16400, 17380, 17280, 16195, 17066, 17629, 18193, 15578, 17495, 16634, 16552, 17184, 17309, 16821, 17339, 17356, 17322, 16324, 17406, 17678, 16457, 16817, 18276, 16719, 16206, 11575, 15148, 17776, 17008, 17447, 16907, 17822, 18053, 17539, 16609
11986, 13941, 17565, 16821, 24646, 22402, 22973, 23204, 21973, 21923, 22081, 22961, 21361, 19182, 18120, 17265, 17161, 16856, 16342, 16750, 17164, 16948, 17333, 17234, 17668, 17412, 17843, 17752, 23976, 22380, 22611, 24261, 22464, 22402, 18007, 17688, 18392, 17933, 18593, 17840, 18118, 22276, 22084, 17823, 18623, 22355, 22762, 18237, 18005, 17609, 22838, 22564, 17700, 18411, 18147, 22588, 21531, 18300, 17518, 21879, 20625, 21904, 18146, 17895, 18180, 17537, 17588, 17388, 17693, 18059, 17672, 17708, 17724, 17199, 18592
17351, 20552, 22682, 24724, 24904, 23464, 23435, 23484, 21701, 21625, 21478, 23071, 20985, 22294, 21783, 18573, 18843, 19073, 17191, 16363, 17379, 20637, 18971, 19638, 19429, 18591, 20832, 20306, 19934, 18656, 20722, 19736, 18676, 20117, 19137, 18703, 19706, 19575, 19534, 18976, 19619, 20395, 20184, 18750, 19890, 19973, 19918, 18912, 19648, 18821, 20067, 19433, 19359, 21042, 19115, 21612, 20076, 21450, 21107, 23263, 20965, 23035, 21701, 22491, 19989, 20399, 22623, 20272, 20269, 21047, 20779, 22257, 20870, 21462, 21089
13639, 19658, 22031, 16930, 20402, 19724, 16534, 17567, 21024, 17745, 16130, 16634, 16572, 16058, 17157, 16079, 16845, 16996, 15907, 16192, 16435, 17034, 16623, 16360, 17201, 16343, 18364, 19673, 18153, 17834, 18385, 18368, 17054, 19359, 18050, 18386, 18424, 17908, 17544, 17956, 17729, 18175, 18599, 18854, 17730, 17673, 18856, 17483, 18269, 18594, 18475, 18424, 18320, 17556, 17609, 18225, 18432, 17343, 17605, 18518, 17972, 18230, 17186, 18339, 17749, 17969, 17940, 18231, 18132, 18121, 18622, 17784, 17530, 17878, 18799
10105, 13685, 18146, 18792, 18433, 17632, 18653, 17554, 18914, 18956, 18469, 16453, 17268, 18110, 16399, 16775, 16383, 16608, 16594, 16716, 16537, 15318, 17207, 16725, 16470, 16409, 19313, 20211, 16308, 15808, 20373, 18884, 19075, 21014, 19889, 20535, 16989, 15502, 15431, 16375, 15973, 15557, 16203, 16093, 15800, 17359, 16457, 16994, 15861, 17037, 16548, 16660, 16901, 16555, 16860, 15937, 17532, 16331, 16291, 16488, 16445, 16470, 15682, 16896, 15422, 15937, 15987, 17117, 16450, 16518, 16283, 16880, 16555, 16335, 16315
11101, 10654, 19671, 16195, 16726, 16498, 16856, 16267, 21762, 20936, 22525, 15735, 16880, 16569, 15070, 15599, 15482, 15802, 17973, 16477, 17097, 17269, 18652, 15991, 15785, 16068, 16187, 17387, 18864, 19001, 19143, 20017, 19190, 20436, 20310, 19120, 19163, 18680, 18486, 19384, 17443, 17598, 18794, 19663, 18522, 18472, 19288, 22062, 15071, 19518, 19331, 19750, 19693, 19414, 20326, 18369, 20797, 20654, 19070, 20171, 21408, 20301, 17378, 16434, 15351, 15958, 16389, 20774, 17486, 19189, 19496, 19666, 18158, 20494, 19398
17099, 17080, 17702, 17308, 17364, 17834, 16915, 17125, 18238, 16843, 15403, 15841, 16171, 14706, 14703, 15838, 21655, 23380, 15334, 21305, 16826, 14148, 15755, 16781, 15088, 15706, 16966, 17343, 15915, 17990, 20110, 20156, 19751, 21353, 19987, 21301, 21539, 20099, 18554, 16687, 19191, 19635, 18051, 19857, 18013, 16928, 17257, 16037, 17799, 17046, 20035, 17160, 18033, 16221, 17621, 15816, 17655, 16626, 16318, 17293, 15576, 17702, 16058, 17391, 15291, 16696, 16680, 16861, 16863, 16991, 16985, 17121, 16650, 16870, 17244
15377, 21907, 22205, 21913, 18281, 18675, 16937, 21956, 17696, 23001, 24325, 23140, 22928, 24808, 23685, 17279, 16990, 17444, 16516, 17321, 17461, 17598, 17620, 17691, 17759, 16939, 18275, 17688, 18110, 18451, 18980, 18300, 23373, 18645, 17850, 17986, 17850, 18101, 17689, 18696, 17901, 18395, 17956, 17752, 22116, 18669, 23200, 22823, 18067, 18246, 18796, 19095, 18627, 18903, 19088, 20201, 20088, 18992, 18415, 19310, 19225, 19398, 18139, 19203, 18866, 19531, 19123, 18630, 18922, 18739, 19306, 18771, 18976, 19070, 18808
