High Priority WRET
9708, 13910, 17112, 19585, 19750, 18095, 13656, 15879, 17415, 17788, 15499, 19325, 18326, 19277, 18091, 17299, 13563, 12482, 14064, 15762, 16051, 20928, 19484, 20635, 17246, 17240, 14143, 13686, 16003, 17057, 17005, 16990, 15704, 17209, 17160, 17114, 13646, 13179, 13441, 14515, 14569, 20239, 19173, 19729, 16928, 16645, 13620, 12999, 14543, 15103, 15216, 17401, 16625, 18146, 16996, 16715, 16141, 15948, 15327, 17436, 17593, 19705, 16709, 18108, 19095, 19179, 17323, 15409, 13829, 17328, 17795, 20596, 17689, 17831, 18492, 18668, 17275, 15838, 13823, 16885, 17309, 21258, 18799, 17802, 17599, 17409, 17188, 15246, 13786, 17098, 17582, 19941, 17022, 17292, 19303, 18988, 17368, 16438, 14624, 17591
9025, 21981, 22768, 22768, 19528, 25080, 26741, 25800, 20692, 23748, 27239, 30949, 28400, 24500, 18038, 24721, 27238, 27647, 22150, 23152, 27719, 32338, 29610, 23593, 19962, 27762, 30764, 31438, 25899, 26621, 26122, 28570, 26205, 20555, 20547, 27382, 29463, 28372, 21909, 24017, 29543, 32711, 31144, 22738, 19506, 25676, 26744, 28889, 24669, 25854, 28705, 32082, 30441, 25348, 19138, 28050, 29485, 28932, 20956, 22067, 26466, 30324, 27494, 22286, 19247, 26293, 27633, 29521, 24138, 22449, 27926, 32814, 30971, 24846, 19585, 26819, 28434, 28482, 23208, 22089, 25103, 29155, 29820, 23618, 18949, 27949, 29736, 30285, 23443, 22213, 26697, 30133, 29528, 23267, 19115, 28159, 29749, 29688, 22646, 20075
15862, 25401, 31127, 31599, 22423, 18347, 25668, 31073, 30567, 28386, 23641, 30310, 33598, 32647, 21695, 21188, 26797, 32307, 31306, 29251, 23143, 30199, 33625, 33640, 24553, 26118, 32064, 37842, 34534, 31933, 25652, 29782, 32458, 30340, 25080, 24448, 27455, 31732, 30742, 29540, 29465, 33569, 35505, 30906, 23574, 21897, 26644, 34343, 33616, 32338, 27065, 32300, 33035, 31840, 25729, 28288, 29876, 33396, 30427, 29284, 26520, 32566, 32877, 32572, 26515, 25448, 29607, 34863, 32416, 31297, 26860, 34270, 33713, 32034, 24502, 22995, 26655, 31797, 31387, 28267, 24316, 30355, 33612, 31252, 23625, 24614, 29190, 33298, 30351, 27807, 24565, 31040, 35499, 31720, 24191, 22442, 29024, 31873, 29083, 24191
