High Priority Response Time
12381, 48341, 53333, 23539, 15614, 8004, 14085, 23032, 53905, 47650, 21579, 9703, 12206, 15624, 13161, 22129, 50049, 55646, 20562, 29522, 12143, 16170, 21160, 41079, 50763, 27450, 12323, 13345, 52198, 43460, 19512, 9630, 10799, 15357, 13628, 22444, 40113, 57486, 31105, 20345, 11661, 48756, 42839, 18040, 12335, 40660, 49079
9837, 55644, 45831, 26104, 10279, 8594, 13300, 20514, 54779, 46537, 20361, 8797, 11516, 16263, 15310, 19865, 48347, 53795, 25208, 25997, 11431, 11360, 28776, 26843, 50956, 27165, 13267, 11237, 49735, 42224, 20608, 8871, 9547, 18844, 15558, 16089, 39472, 57485, 31163, 18767, 10777, 45317, 39600, 19635, 11827, 35244, 45242
9510, 37941, 54558, 27901, 11004, 7790, 16264, 23221, 53851, 39842, 24162, 8670, 10434, 9124, 17034, 18793, 43335, 59689, 26531, 19470, 9388, 12007, 26183, 37583, 45616, 29801, 13332, 11290, 45134, 46407, 19066, 10414, 11869, 17651, 15372, 23019, 28491, 44237, 33329, 19147, 9993, 33254, 35804, 19792, 10798, 24984, 41936
