Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
94, 98.1013, -nan, 0, 3.87885
94, 98.0932, -nan, 0, 3.87885
94, 98.2979, -nan, 0, 3.87885
94, 98.3015, -nan, 0, 3.87885
48, 0, -nan, -nan, 2.21283
48, 0, -nan, -nan, 2.21283
48, 0, -nan, -nan, 2.21283
48, 0, -nan, -nan, 2.21283
48, 0, -nan, -nan, 2.21283
48, 0, -nan, -nan, 2.21283
2, 100, -nan, -nan, 2.21283
2, 100, -nan, -nan, 2.21283
8, 100, -nan, 0, 3.87885
8, 100, -nan, 0, 3.87885
8, 100, -nan, 0, 3.87885
100, 92, -nan, 0, 3.87885
100, 92, -nan, 0, 3.87885
8, 100, -nan, 0, 3.87885
106, 100, -nan, 0, 3.87885
98, 100, -nan, 0, 3.87885
113, 100, -nan, 0, 3.87885
128, 100, -nan, 0, 3.87885
124, 100, -nan, 0, 3.87885
8, 100, -nan, 0, 3.87885
8, 100, -nan, 0, 5.87103
149, 93.2886, -nan, 0, 5.87103
144, 91.6667, -nan, 0, 5.87103
144, 93.75, -nan, 0, 5.87103
