High Priority Execution Time
14442, 48063, 51762, 45713, 38416, 49918, 45259, 62401, 48096, 45095, 45813, 46126, 50168, 46743, 47890, 55257, 53636, 44492, 60628, 41211, 51347, 47734, 48213, 56839, 57621, 51439, 35295, 44900, 56069, 45741, 48633, 45506, 39114, 47548, 48361, 53647, 43267, 41443, 51894, 49685, 38359
21386, 26626, 64941, 46937, 36365, 49877, 47890, 59771, 47573, 45112, 43393, 49043, 47976, 47283, 48332, 56215, 50623, 48060, 51075, 54693, 53232, 51353, 54487, 53253, 56159, 52067, 34508, 46410, 55185, 44674, 53253, 38319, 30995, 41059, 50033, 50011, 39582, 46424, 56343, 53491, 42825
8641, 23720, 31766, 30598, 23315, 28382, 22185, 33433, 37435, 25320, 17587, 21529, 27329, 29199, 20125, 25411, 24969, 43187, 26505, 31273, 28880, 30331, 31152, 28923, 32914, 24111, 35564, 28485, 23613, 36512, 20346, 19503, 22774, 24493, 22964, 25480, 25484, 19265, 18728, 25358, 23124, 30276, 19356, 30411, 32517, 27469, 27897, 9057
