511,511,375,375,532,532,675,675
546,546,440,440,532,509,675,586
1626,1626,2388,2388,2812,2812,1841,1841
2814,2814,2776,2776,2812,2585,2818,2818
3779,3779,3105,3105,2812,1221,3567,3567
3779,1716,3105,1199,2585,1546,3567,1388
3779,794,3105,489,1546,412,3567,785
1716,602,1199,527,1546,572,1388,647
1330,1330,1057,1057,1191,1191,2519,2519
2570,2570,2544,2544,2479,2479,3147,3147
2570,1351,2544,1896,2479,1367,3147,1017
2570,681,2544,589,2479,730,3147,710
1435,1435,1896,884,1367,1146,2437,2437
2568,2568,2625,2625,2406,2406,2437,2070
2568,2328,2625,2364,2406,2391,2437,2192
2568,738,2625,570,2406,669,2192,735
2328,726,2364,612,2391,709,2192,733
1414,1414,1340,1340,1578,1578,2195,2195
2041,2041,2193,2193,3100,3100,2195,2194
2041,1712,2193,1415,3100,3073,3290,3290
2041,1324,2193,1151,3100,1226,3290,860
1712,719,1415,598,3073,702,3290,699
1324,801,1151,660,1226,742,1315,1315
2500,2500,2500,2500,2435,2435,3299,3299
2500,2284,2500,1333,2435,1199,3299,1400
2500,677,2500,644,2435,731,3299,924
2284,713,1333,627,1199,668,1400,823
1140,1140,1863,1863,2519,2519,3176,3176
2377,2377,3029,3029,2519,1520,3176,2807
2527,2527,3029,1407,2519,1105,3176,2319
