16549,16549
19565,16058
19698,11838
21914,15627
22196,11108
22826,13783
23260,13601
23787,14651
23787,10891
23787,9228
21181,10548
21171,13125
21171,12780
19339,10286
19761,13441
19296,10186
19220,10800
18778,14938
19122,14369
20086,15985
20086,10809
20522,14733
20589,14470
21017,14221
21155,12960
21155,11499
21731,10651
21876,15414
22000,13285
21802,11288
21802,14288
21072,13878
20380,11601
20169,13489
20568,12568
20736,12223
21037,14753
20679,11574
20488,12543
21780,14895
22667,15869
22549,13574
22616,13270
21587,14727
21583,13032
22276,15290
21914,14971
22126,15932
23426,19631
22891,13328
23161,19094
23993,18051
24947,18543
25889,18820
25889,14859
25507,17356
25404,16283
25649,17464
25325,17081
25585,12949
25230,11202
24381,10168
23610,12671
22674,13358
22475,14000
22131,15546
22147,15836
22171,16726
22583,14680
22229,16478
22538,16731
22615,13818
22788,15949
22584,14385
23142,16099
22923,17199
22572,13412
22530,13709
22517,12826
21985,13265
21734,12524
21660,14094
21676,14128
22864,15959
21924,14763
21850,11999
22356,15079
22356,11676
22588,13256
22370,13219
22316,14888
22475,16044
23540,16544
23323,16859
23853,15760
23853,14381
24307,15050
25650,17073
26191,11925
26185,12487
26178,12945
25838,12621
24894,12762
24389,14813
24719,16294
24124,15909
24394,18814
24665,15419
24819,18769
25557,16418
25514,16208
25584,15716
25584,15581
25294,10632
25147,8266
25065,9196
23166,12585
23388,15258
22873,14887
23556,16011
22836,13529
22644,17563
22625,11197
23511,18345
23525,14372
24079,16865
23955,13134
23824,15269
23929,16415
22756,14506
22756,14267
23111,15036
23596,12332
23388,11338
23537,14283
23267,14899
23979,15728
23980,15381
24007,16687
22897,16285
22696,15671
22943,17021
23803,15448
23876,15735
23492,14729
23700,18332
23242,16006
23464,15413
23643,15589
23619,16097
23573,16526
23663,16273
23637,16389
23661,17250
23500,16134
23275,16732
22011,17500
23499,17009
23737,17682
24226,16946
24300,16887
24300,16956
24369,17929
23926,16315
24853,16477
24462,13658
24399,13093
24287,15197
24781,14586
23989,9750
23690,11048
23813,15544
23778,14873
23842,15112
23243,14712
23243,10446
23636,16155
23507,14702
24462,16659
24534,14514
24534,6807
24400,6700
24122,6743
23383,7964
21482,12076
22581,15175
21671,13929
21089,14730
20470,16076
20697,12158
21274,14881
21936,16335
21962,14565
22362,15963
22362,12700
22264,12696
22169,11994
22134,12968
21363,13311
21319,13127
20882,14422
21078,15672
21057,14545
21791,15102
21902,15618
21937,11634
22519,15328
22519,15017
22494,9871
22517,10751
22242,9015
21272,9339
21186,10855
21276,16968
20817,10730
21021,14920
19546,15620
20295,14959
20427,14967
20678,14388
21246,11074
21127,10795
21127,11026
20870,12076
20867,10222
20401,10779
19931,14662
19530,12522
19032,14371
20138,16571
20101,14900
19992,14625
20384,15481
21529,17247
21729,14813
21841,11257
22555,16257
22881,17327
22950,15960
22950,14550
