940,940,1021,1021,1406,1406,1155,1155
940,756,1021,954,1406,1078,1155,1105
2452,2452,3198,3198,2533,2533,3230,3230
4614,4614,3198,3178,3843,3843,3230,2935
4614,4228,4400,4400,3980,3980,3230,1827
4614,1149,4400,2697,3980,2318,3708,3708
4228,669,4400,724,3980,1017,3708,973
1149,710,2697,700,2318,1087,3708,1176
1597,1597,3607,3607,3865,3865,3013,3013
2639,2639,3607,2752,3865,2165,3626,3626
2639,1002,3607,1544,3865,1662,3626,2066
2639,648,2752,684,2165,916,3626,1001
1484,1484,2268,2268,1736,1736,2066,1627
2433,2433,2460,2460,2685,2685,2838,2838
2690,2690,2505,2505,3271,3271,2838,2100
2690,656,2505,684,3271,967,2838,988
2690,735,2505,670,3271,917,2100,997
2418,2418,3801,3801,3153,3153,2966,2966
3248,3248,3801,3231,3416,3416,2966,2904
3248,3012,3801,3054,3416,2883,3198,3198
3248,704,3231,651,3416,963,3198,917
3012,700,3054,707,2883,1099,3198,1012
2751,2751,1958,1958,3220,3220,2681,2681
2751,1989,3042,3042,3220,2347,2682,2682
2751,988,3042,2145,3220,2863,2682,2063
1989,709,3042,654,2863,946,2682,966
1078,1078,2145,1458,2863,2155,2063,2024
2910,2910,2851,2851,2618,2618,3033,3033
2910,1704,4211,4211,3890,3890,3033,2778
2910,2771,4211,2299,3890,1114,3350,3350
