Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
192, 0, 0, 18.6432, 5.83588
189, 0, 0, 17.9607, 5.82025
165, 0, 0.438596, 11.789, 5.83392
191, 0, 0, 18.5914, 5.83588
183, 0, 0, 16.2959, 5.83588
179, 0, 0, 15.4244, 5.83392
204, 0, 0, 21.9462, 5.83392
187, 0, 0.884956, 17.5375, 5.82025
192, 0, 0, 18.6756, 5.83588
191, 0, 0, 18.5722, 5.83392
181, 61.2832, 0, 0.0516529, 8.17377
192, 22.6042, 0, 0.0516529, 6.05658
192, 0, 0, 0.0516529, 6.0722
192, 1.14583, 0, 0.103306, 6.05853
192, 29.1667, 0, 0.0516529, 6.07025
192, 5.72917, 0, 0.103306, 6.05658
192, 0, 0, 0.0516529, 6.07416
